AtcoCode,CommonName,Latitude,Longitude,Easting,Northing
700000000000,Mount Eagles,54.55280045,-6.04518548,326532,368923
700000000001,Custom House Square,54.60111602,-5.92301087,334277,374527
700000000002,Lagmore Reservoir,54.55497653,-6.04307182,326662,369169
700000000003,Station Street,54.60066353,-5.91863878,334561,374485
700000000004,Teeling Avenue,54.55475852,-6.04181471,326744,369147
700000000005,Short Strand (Newtownards Road),54.60017728,-5.90815562,335240,374451
700000000006,Glendowan Park,54.55390028,-6.03986179,326873,369055
700000000007,Tower Street,54.59978347,-5.90512714,335437,374413
700000000008,Glenfearna,54.55415403,-6.03280085,327329,369096
700000000009,Templemore Ave [N'ards Road],54.5993554,-5.90168264,335661,374372
700000000010,Lagmore Meadows,54.55132412,-6.03171598,327408,368783
700000000011,Dee Street,54.59889816,-5.89811591,335893,374328
700000000012,Lagmore Drive,54.54965727,-6.03198173,327396,368597
700000000013,Ribble Street,54.59831614,-5.89358077,336188,374272
700000000014,Lagmore Dale,54.54840696,-6.02913627,327584,368463
700000000015,Connswater,54.59777887,-5.89368589,336183,374212
700000000016,Lagmore Dale,54.54828832,-6.02957475,327556,368449
700000000018,Lagmore Drive,54.54874699,-6.03180918,327410,368496
700000000019,Holywood Arches (Holywood Road),54.59811229,-5.88755607,336578,374261
700000000020,Lagmore Meadows,54.55094662,-6.03225969,327374,368740
700000000021,Dundela Park,54.60004811,-5.88470115,336756,374482
700000000022,Glenfearna,54.55382153,-6.03224492,327366,369060
700000000023,Parkgate Avenue,54.60189481,-5.88291845,336865,374691
700000000024,Glendowan Park,54.55377234,-6.03972881,326882,369041
700000000026,Teeling Avenue,54.55448768,-6.04173494,326750,369117
700000000027,Larkfield,54.60484816,-5.88019588,337031,375025
700000000028,Lagmore Grove,54.55161069,-6.03000193,327518,368818
700000000029,Palmerston Road,54.60571017,-5.87606491,337295,375129
700000000030,Summerhill Estate,54.54701295,-6.0235469,327950,368318
700000000031,Palmerston Park,54.60712285,-5.87464472,337382,375289
700000000032,Gardenmore Road,54.55007436,-6.02339885,327950,368659
700000000033,Station Road,54.60809014,-5.87549207,337324,375395
